Display Name,Family,Subfamily,Pref. Family,Pref. Subfamily,Version,Vendor ID,Styles,Width,Weight,Blocks,Characters,Glyphs
汉仪霹雳体简 (Regular),汉仪霹雳体简,Regular,,,Version 3.53,HNYI,Regular,5 (Medium),400 (Normal),28,7596,7597
汉仪平安行粗繁 (Regular),汉仪平安行粗繁,Regular,,,Version 5.00,HNYI,Regular,5 (Medium),400 (Normal),34,7911,7912
汉仪平安行粗简 (Regular),汉仪平安行粗简,Regular,,,Version 5.00,HNYI,Regular,5 (Medium),400 (Normal),34,7911,7912
汉仪平安行繁 (Regular),汉仪平安行繁,Regular,,,Version 5.00,HNYI,Regular,5 (Medium),400 (Normal),34,7911,7912
汉仪平安行简 (Regular),汉仪平安行简,Regular,,,Version 5.00,HNYI,Regular,5 (Medium),400 (Normal),34,7911,7912
汉仪旗黑-25S (Hairline),汉仪旗黑-25S,Hairline,汉仪旗黑,25S,Version 5.01,HNYI,Regular,5 (Medium),400 (Normal),37,28873,28874
汉仪旗黑-25繁 (Hairline),汉仪旗黑-25繁,Hairline,汉仪旗黑,25繁,Version 5.01,HNYI,Regular,5 (Medium),100 (Thin),34,8007,8008
汉仪旗黑-25简 (Hairline),汉仪旗黑-25简,Hairline,汉仪旗黑,25简,Version 5.01,HNYI,Regular,5 (Medium),100 (Thin),34,8007,8008
汉仪旗黑-25简繁 (Hairline),汉仪旗黑-25简繁,Hairline,汉仪旗黑,25简繁,Version 5.00,HNYI,Regular,5 (Medium),100 (Thin),34,10025,10026
汉仪旗黑-30S (ExtraThin),汉仪旗黑-30S,ExtraThin,汉仪旗黑,30S,Version 5.01,HNYI,Regular,5 (Medium),400 (Normal),37,28873,28874
汉仪旗黑-30繁 (ExtraThin),汉仪旗黑-30繁,ExtraThin,汉仪旗黑,30繁,Version 5.01,HNYI,Regular,5 (Medium),400 (Normal),34,8007,8008
汉仪旗黑-30简 (ExtraThin),汉仪旗黑-30简,ExtraThin,汉仪旗黑,30简,Version 5.01,HNYI,Regular,5 (Medium),400 (Normal),34,8007,8008
汉仪旗黑-35S (Thin),汉仪旗黑-35S,Thin,汉仪旗黑,35S,Version 5.01,HNYI,Regular,5 (Medium),100 (Thin),37,28873,28874
汉仪旗黑-35繁 (Thin),汉仪旗黑-35繁,Thin,汉仪旗黑,35繁,Version 5.01,HNYI,Regular,5 (Medium),100 (Thin),34,8007,8008
