Display Name,Family,Subfamily,Pref. Family,Pref. Subfamily,Version,Vendor ID,Styles,Width,Weight,Blocks,Characters,Glyphs
汉仪旗黑Y4-95W (95W),汉仪旗黑Y4-95W,95W,汉仪旗黑Y4,95W,Version 5.00,HNYI,Regular,5 (Medium),400 (Normal),34,10413,10509
汉仪麒麟体简 (Regular),汉仪麒麟体简,Regular,,,Version 5.00,HNYI,Regular,5 (Medium),400 (Normal),28,7577,7577
汉仪清雅体繁 (Regular),汉仪清雅体繁,Regular,,,Version 5.00,HNYI,Regular,5 (Medium),400 (Normal),34,7911,8006
汉仪清雅体简 (Regular),汉仪清雅体简,Regular,,,Version 5.00,HNYI,Regular,5 (Medium),400 (Normal),34,7911,8006
汉仪清韵体简 (Regular),汉仪清韵体简,Regular,,,Version 5.00,HNYI,Regular,5 (Medium),400 (Normal),28,7577,7576
汉仪趣黑W (Regular),汉仪趣黑W,Regular,,,Version 5.00,HNYI,Regular,5 (Medium),400 (Normal),16,9664,9760
汉仪全唐诗繁 (Regular),汉仪全唐诗繁,Regular,,,Version 5.00,HNYI,Regular,5 (Medium),400 (Normal),34,7911,8006
汉仪全唐诗简 (Regular),汉仪全唐诗简,Regular,,,Version 5.00,HNYI,Regular,5 (Medium),400 (Normal),34,7911,8006
汉仪瑞意宋W (Regular),汉仪瑞意宋W,Regular,,,Version 5.00,HNYI,Regular,5 (Medium),400 (Normal),34,10413,10509
汉仪润圆-35W (35W),汉仪润圆-35W,35W,汉仪润圆,35W,Version 5.00,HNYI,Regular,5 (Medium),100 (Thin),34,10322,10418
汉仪润圆-45W (45W),汉仪润圆-45W,45W,汉仪润圆,45W,Version 5.00,HNYI,Regular,5 (Medium),200 (Extra-light),34,10322,10418
汉仪润圆-55W (55W),汉仪润圆-55W,55W,汉仪润圆,55W,Version 5.00,HNYI,Regular,5 (Medium),400 (Normal),34,10322,10418
汉仪润圆-65W (65W),汉仪润圆-65W,65W,汉仪润圆,65W,Version 5.00,HNYI,Regular,5 (Medium),500 (Medium),34,10322,10418
汉仪润圆-75W (75W),汉仪润圆-75W,75W,汉仪润圆,75W,Version 5.00,HNYI,Regular,5 (Medium),700 (Bold),34,10322,10418
汉仪神工体简 (Regular),汉仪神工体简,Regular,,,Version 5.00,HNYI,Regular,5 (Medium),400 (Normal),28,7577,7576
汉仪瘦金书简 (Regular),汉仪瘦金书简,Regular,,,Version 5.00,HNYI,Regular,5 (Medium),400 (Normal),28,7577,7576
汉仪书魂体简 (Regular),汉仪书魂体简,Regular,,,Version 5.00,HNYI,Regular,5 (Medium),400 (Normal),28,7577,7576
汉仪书宋二S (Regular),汉仪书宋二S,Regular,,,Version 5.00,HNYI,Regular,5 (Medium),400 (Normal),35,28656,28752
汉仪书宋二简 (Regular),汉仪书宋二简,Regular,,,Version 5.00,HANY,Regular,5 (Medium),400 (Normal),28,7770,7891
汉仪书宋一简 (Regular),汉仪书宋一简,Regular,,,Version 5.00,HNYI,Regular,5 (Medium),400 (Normal),28,7577,7576
汉仪舒同体简 (Regular),汉仪舒同体简,Regular,,,Version 5.00,HNYI,Regular,5 (Medium),400 (Normal),28,7577,7576
汉仪双线体简 (Regular),汉仪双线体简,Regular,,,Version 5.00,HNYI,Regular,5 (Medium),400 (Normal),28,7577,7576
汉仪水波体简 (Regular),汉仪水波体简,Regular,,,Version 5.00,HNYI,Regular,5 (Medium),400 (Normal),28,7577,7576
汉仪水滴体简 (Regular),汉仪水滴体简,Regular,,,Version 5.00,HANY,Regular,5 (Medium),400 (Normal),28,7770,7891
汉仪宋韵朗黑W (Regular),汉仪宋韵朗黑W,Regular,,,Version 5.00,HNYI,Regular,5 (Medium),400 (Normal),34,10413,10509
汉仪太极体简 (Regular),汉仪太极体简,Regular,,,Version 5.00,HNYI,Regular,5 (Medium),400 (Normal),28,7577,7576
汉仪糖糖体简 (Regular),汉仪糖糖体简,Regular,,,Version 5.00,HNYI,Regular,5 (Medium),400 (Normal),34,7911,8006
汉仪特细等线简 (Regular),汉仪特细等线简,Regular,,,Version 5.00,HNYI,Regular,5 (Medium),400 (Normal),28,7577,7576
汉仪铁山隶书简 (Regular),汉仪铁山隶书简,Regular,,,Version 5.00,HNYI,Regular,5 (Medium),400 (Normal),28,7577,7576
汉仪娃娃篆简 (Regular),汉仪娃娃篆简,Regular,,,Version 5.00,HNYI,Regular,5 (Medium),400 (Normal),28,7577,7576
汉仪魏碑简 (Regular),汉仪魏碑简,Regular,,,Version 5.00,HANY,Regular,5 (Medium),400 (Normal),28,7770,7891
汉仪文黑-35W (35W),汉仪文黑-35W,35W,汉仪文黑,35W,Version 5.00,HNYI,Regular,5 (Medium),400 (Normal),34,10315,10411
汉仪文黑-45W (45W),汉仪文黑-45W,45W,汉仪文黑,45W,Version 5.00,HNYI,Regular,5 (Medium),400 (Normal),34,10315,10411
汉仪文黑-55W (55W),汉仪文黑-55W,55W,汉仪文黑,55W,Version 5.00,HNYI,Regular,5 (Medium),400 (Normal),34,10315,10411
汉仪文黑-65W (65W),汉仪文黑-65W,65W,汉仪文黑,65W,Version 5.00,HNYI,Regular,5 (Medium),400 (Normal),34,10315,10411
